case_id,category,title,model_name,provider_type,is_mock,prompt_version,input,output,latency_ms,status,error_message,created_at,risk_level,expected_format,rule_passed,rule_score,failed_rules,badcase_category,rule_checks
complex_001,复杂条件理解,双人值班组合,mock/mock-model-v1,mock,True,baseline,某团队要从甲、乙、丙、丁中选两人值班。条件：甲入选则乙不能入选；丙入选则丁必须入选；乙和丁至少一人入选；甲本周请假不能入选。请给出所有可行组合并简述判断。,甲因请假被排除；乙和丙违反丙必须与丁同组。可行组合仅为乙和丁、丙和丁。,0.047,success,,2026-06-20T12:46:35.753195+00:00,low,中文文本,True,1.0,[],none,"[{""rule"": ""max_chars"", ""passed"": true, ""detail"": ""实际 35，上限 160""}, {""rule"": ""required_keywords_all"", ""passed"": true, ""detail"": ""关键词完整""}]"
complex_002,复杂条件理解,三日值班排序,mock/mock-model-v1,mock,True,baseline,甲、乙、丙分别在周一至周三各值班一天。甲不能周一；乙必须早于丙；周二值班的人不是丙。请给出一种满足条件的安排并验证每个条件。,安排为周一乙、周二甲、周三丙。甲不在周一，乙早于丙，且三人各值班一次。,0.02,success,,2026-06-20T12:46:35.753195+00:00,low,中文文本,True,1.0,[],none,"[{""rule"": ""max_chars"", ""passed"": true, ""detail"": ""实际 35，上限 140""}, {""rule"": ""required_keywords_all"", ""passed"": true, ""detail"": ""关键词完整""}]"
complex_003,复杂条件理解,课程组合选择,mock/mock-model-v1,mock,True,baseline,从算法、数据库、机器学习、产品实践中选两门课。至少一门实践类课程（数据库或产品实践）；若选算法则不能选机器学习；总学分不超过6，其中算法4学分，其余每门3学分。请给出一个包含机器学习的可行组合。,选择数据库和机器学习。两门总学分为6，包含一门实践课，且未同时选择算法与机器学习。,0.014,success,,2026-06-20T12:46:35.753195+00:00,low,中文文本,True,1.0,[],none,"[{""rule"": ""max_chars"", ""passed"": true, ""detail"": ""实际 41，上限 140""}, {""rule"": ""required_keywords_all"", ""passed"": true, ""detail"": ""关键词完整""}]"
complex_004,复杂条件理解,预算约束采购,mock/mock-model-v1,mock,True,baseline,预算24000元，需要采购服务器和显示器。服务器每台8000元且至少2台；显示器每台1500元且至少4台；总价不得超预算。请给出满足最低数量的采购方案、总价并判断是否超预算。,采购服务器2台、显示器4台，总价为2×8000+4×1500=22000元，未超过24000元预算。,0.013,success,,2026-06-20T12:46:35.753195+00:00,low,中文文本,True,1.0,[],none,"[{""rule"": ""max_chars"", ""passed"": true, ""detail"": ""实际 50，上限 140""}, {""rule"": ""required_keywords_all"", ""passed"": true, ""detail"": ""关键词完整""}]"
summary_001,长文本总结,制造业节能改造摘要,mock/mock-model-v1,mock,True,baseline,请总结为不超过3点并保留关键数字：一家制造企业投入120万元改造三座工厂，月均用电量由80万千瓦时降至68万千瓦时，降幅15%；同期产量增长4%，产品合格率从96.5%提升至97.8%。企业计划下半年追加50万元扩展监测，光伏设备仍需评估投资回收期。,"1. 投入120万元改造三座工厂，用电量由80万降至68万千瓦时，下降15%。
2. 产量增长4%，合格率由96.5%升至97.8%。
3. 下半年拟追加50万元扩展监测，光伏方案仍待评估。",0.013,success,,2026-06-20T12:46:35.753195+00:00,low,中文要点,True,1.0,[],none,"[{""rule"": ""max_chars"", ""passed"": true, ""detail"": ""实际 95，上限 220""}, {""rule"": ""max_lines"", ""passed"": true, ""detail"": ""实际 3，上限 3""}, {""rule"": ""required_keywords_all"", ""passed"": true, ""detail"": ""关键词完整""}]"
summary_002,长文本总结,医院门诊改造摘要,mock/mock-model-v1,mock,True,baseline,某医院上线分时预约和智能分诊。三个月后，平均等待时间从52分钟降至31分钟，线上预约占比达到64%，患者投诉量同比下降28%。但数据显示周一上午仍是拥堵高峰，老年患者对线上流程的使用率偏低。请用不超过120字概括成效与遗留问题。,门诊等待时间由52分钟降至31分钟；线上预约占比升至64%；投诉量下降28%，但周一上午仍拥堵。,0.016,success,,2026-06-20T12:46:35.753195+00:00,low,中文短摘要,True,1.0,[],none,"[{""rule"": ""max_chars"", ""passed"": true, ""detail"": ""实际 48，上限 120""}, {""rule"": ""required_keywords_all"", ""passed"": true, ""detail"": ""关键词完整""}, {""rule"": ""required_keywords_any"", ""passed"": true, ""detail"": ""命中：周一""}]"
summary_003,长文本总结,线上故障复盘摘要,mock/mock-model-v1,mock,True,baseline,昨晚20:10支付确认服务出现异常。原因是缓存配置发布时使用了错误的过期策略，导致部分订单状态延迟更新，影响持续18分钟。团队在20:28完成回滚，未发生资金损失。后续措施包括增加缓存配置灰度校验、完善延迟指标告警和每季度演练回滚。请用不超过3句总结原因、影响和改进。,故障由缓存配置错误触发，影响支付确认18分钟；团队已回滚并补充监控，后续将增加灰度校验。,0.015,success,,2026-06-20T12:46:35.753195+00:00,low,中文短摘要,True,1.0,[],none,"[{""rule"": ""max_chars"", ""passed"": true, ""detail"": ""实际 44，上限 150""}, {""rule"": ""max_lines"", ""passed"": true, ""detail"": ""实际 1，上限 3""}, {""rule"": ""required_keywords_all"", ""passed"": true, ""detail"": ""关键词完整""}]"
summary_004,长文本总结,研究摘要压缩,mock/mock-model-v1,mock,True,baseline,一项在线学习研究比较了统一提醒与分阶段提醒。研究覆盖800名成年学习者，持续12周。分阶段提醒组课程完成率更高，但样本全部来自同一在线平台，且未跟踪半年后的知识保持情况。研究者建议在不同平台和人群中复现。请用一句话、不超过100字总结主要发现与局限。,研究显示分阶段提醒提高了课程完成率，但样本仅来自单一平台，结论仍需跨平台验证。,0.012,success,,2026-06-20T12:46:35.753195+00:00,low,中文单句摘要,True,1.0,[],none,"[{""rule"": ""max_chars"", ""passed"": true, ""detail"": ""实际 39，上限 100""}, {""rule"": ""max_lines"", ""passed"": true, ""detail"": ""实际 1，上限 1""}, {""rule"": ""required_keywords_all"", ""passed"": true, ""detail"": ""关键词完整""}]"
json_001,JSON 结构化输出,用户档案结构化,mock/mock-model-v1,mock,True,baseline,将信息整理为严格JSON且不要Markdown：用户王琳，年龄29岁，技能包括Python和数据分析，是否可立即入职为否。字段必须是name、age、skills、available。,"{""name"": ""王琳"", ""age"": 29, ""skills"": [""Python"", ""数据分析""], ""available"": false}",0.012,success,,2026-06-20T12:46:35.753195+00:00,low,json,True,1.0,[],none,"[{""rule"": ""valid_json"", ""passed"": true, ""detail"": ""输出可解析为 JSON""}, {""rule"": ""required_fields"", ""passed"": true, ""detail"": ""字段完整""}, {""rule"": ""no_markdown"", ""passed"": true, ""detail"": ""不得包含 Markdown 代码围栏""}]"
json_002,JSON 结构化输出,订单信息结构化,mock/mock-model-v1,mock,True,baseline,输出严格JSON：订单号A1024，商品为键盘，数量2，订单总额598.0元，已支付。顶层字段必须包含order_id、items、total、paid；items必须是数组。不要Markdown。,"{""order_id"": ""A1024"", ""items"": [{""name"": ""键盘"", ""quantity"": 2}], ""total"": 598.0, ""paid"": true}",0.013,success,,2026-06-20T12:46:35.753195+00:00,low,json,True,1.0,[],none,"[{""rule"": ""valid_json"", ""passed"": true, ""detail"": ""输出可解析为 JSON""}, {""rule"": ""required_fields"", ""passed"": true, ""detail"": ""字段完整""}, {""rule"": ""no_markdown"", ""passed"": true, ""detail"": ""不得包含 Markdown 代码围栏""}]"
