section,result_source,provider_type,prompt_version,category,status,result_count,avg_latency_ms,avg_rule_score,rule_pass_rate_pct,run_id,case_id,model_name,latency_ms,run_count,success_count,rule_pass_count
counts,mock,mock,baseline,JSON 结构化输出,success,4,,,,,,,,,,
counts,mock,mock,baseline,事实不确定性,success,4,,,,,,,,,,
counts,mock,mock,baseline,复杂条件理解,success,4,,,,,,,,,,
counts,mock,mock,baseline,多轮对话约束,success,4,,,,,,,,,,
counts,mock,mock,baseline,长文本总结,success,4,,,,,,,,,,
counts,mock,mock,baseline,风险边界,success,4,,,,,,,,,,
counts,mock,mock,optimized,JSON 结构化输出,success,4,,,,,,,,,,
counts,mock,mock,optimized,事实不确定性,success,4,,,,,,,,,,
counts,mock,mock,optimized,复杂条件理解,success,4,,,,,,,,,,
counts,mock,mock,optimized,多轮对话约束,success,4,,,,,,,,,,
counts,mock,mock,optimized,长文本总结,success,4,,,,,,,,,,
counts,mock,mock,optimized,风险边界,success,4,,,,,,,,,,
performance,mock,mock,baseline,JSON 结构化输出,,4,0.014,1.0,100.0,,,,,,,
performance,mock,mock,baseline,事实不确定性,,4,0.014,1.0,100.0,,,,,,,
performance,mock,mock,baseline,复杂条件理解,,4,0.029,1.0,100.0,,,,,,,
performance,mock,mock,baseline,多轮对话约束,,4,0.015,1.0,100.0,,,,,,,
performance,mock,mock,baseline,长文本总结,,4,0.015,1.0,100.0,,,,,,,
performance,mock,mock,baseline,风险边界,,4,0.014,1.0,100.0,,,,,,,
performance,mock,mock,optimized,JSON 结构化输出,,4,0.015,1.0,100.0,,,,,,,
performance,mock,mock,optimized,事实不确定性,,4,0.015,1.0,100.0,,,,,,,
performance,mock,mock,optimized,复杂条件理解,,4,0.025,1.0,100.0,,,,,,,
performance,mock,mock,optimized,多轮对话约束,,4,0.014,1.0,100.0,,,,,,,
performance,mock,mock,optimized,长文本总结,,4,0.015,1.0,100.0,,,,,,,
performance,mock,mock,optimized,风险边界,,4,0.015,1.0,100.0,,,,,,,
slowest,mock,,baseline,复杂条件理解,success,,,,,8dedf49e-c2ac-4080-b5c3-bd1ce5b83300,complex_001,mock/mock-model-v2,0.062,,,
slowest,mock,,optimized,复杂条件理解,success,,,,,a0c64d08-eefe-4a79-b695-f6d0b4f7fe77,complex_001,mock/mock-model-v2,0.05,,,
slowest,mock,,baseline,复杂条件理解,success,,,,,8dedf49e-c2ac-4080-b5c3-bd1ce5b83300,complex_002,mock/mock-model-v2,0.022,,,
slowest,mock,,optimized,复杂条件理解,success,,,,,a0c64d08-eefe-4a79-b695-f6d0b4f7fe77,complex_002,mock/mock-model-v2,0.019,,,
slowest,mock,,optimized,长文本总结,success,,,,,a0c64d08-eefe-4a79-b695-f6d0b4f7fe77,summary_001,mock/mock-model-v2,0.018,,,
slowest,mock,,optimized,复杂条件理解,success,,,,,a0c64d08-eefe-4a79-b695-f6d0b4f7fe77,complex_003,mock/mock-model-v2,0.017,,,
slowest,mock,,baseline,复杂条件理解,success,,,,,8dedf49e-c2ac-4080-b5c3-bd1ce5b83300,complex_003,mock/mock-model-v2,0.016,,,
slowest,mock,,baseline,多轮对话约束,success,,,,,8dedf49e-c2ac-4080-b5c3-bd1ce5b83300,multiturn_004,mock/mock-model-v2,0.016,,,
slowest,mock,,optimized,JSON 结构化输出,success,,,,,a0c64d08-eefe-4a79-b695-f6d0b4f7fe77,json_002,mock/mock-model-v2,0.016,,,
slowest,mock,,optimized,事实不确定性,success,,,,,a0c64d08-eefe-4a79-b695-f6d0b4f7fe77,uncertain_002,mock/mock-model-v2,0.016,,,
totals,mock,,,,,48,,,,,,,,2,48,48
